gene_short_name	term	q_value	estimate
IL2RA	clus3TRUE	5.908154e-07	0.572173
PARK7	clus3TRUE	6.27936e-07	0.2166772
ANXA1	clus3TRUE	6.338028e-07	-1.392875
HINT1	clus3TRUE	6.523126e-07	-0.1929916
RPL10A	clus3TRUE	6.656115e-07	-0.2122548
VDR	clus3TRUE	8.77448e-07	1.311017
EIF4A2	clus3TRUE	1.05577e-06	-0.3764558
BCL2A1	clus3TRUE	1.100232e-06	-0.5790821
NAP1L1	clus3TRUE	1.219012e-06	-0.3184307
HLA-B	clus3TRUE	1.322896e-06	-0.1414494
RPS24	clus3TRUE	1.456476e-06	-0.2201725
GBP2	clus3TRUE	1.486e-06	-0.6375006
PRNP	clus3TRUE	1.790389e-06	-0.7172868
RPS16	clus3TRUE	1.871856e-06	-0.2110736
ATP5B	clus3TRUE	1.960728e-06	0.1502859
SON	clus3TRUE	2.019872e-06	-0.3998672
TPM3	clus3TRUE	2.09385e-06	0.2738695
LCP1	clus3TRUE	2.33856e-06	0.3419715
BTF3	clus3TRUE	2.575781e-06	-0.158344
SRSF11	clus3TRUE	2.590278e-06	-0.4129249
MRPL11	clus3TRUE	2.775454e-06	0.4841173
CALR	clus3TRUE	2.775454e-06	0.3899477
CORO1A	clus3TRUE	3.123399e-06	0.5803395
CD69	clus3TRUE	3.308428e-06	-0.4658468
NOP58	clus3TRUE	3.604662e-06	-0.318281
ATP5J	clus3TRUE	4.219704e-06	0.2616449
BST2	clus3TRUE	4.27104e-06	0.5956016
RPS27	clus3TRUE	4.500298e-06	-0.9119928
FAM173A	clus3TRUE	4.52193e-06	1.248236
RPS4X	clus3TRUE	4.765916e-06	-0.2006099
FDPS	clus3TRUE	5.076535e-06	0.4261574
RBM39	clus3TRUE	5.52045e-06	-0.3748399
YPEL5	clus3TRUE	5.616022e-06	-0.9303777
UQCRC1	clus3TRUE	6.200496e-06	0.4487534
RPS6KA1	clus3TRUE	7.70328e-06	1.232428
PRRC2C	clus3TRUE	7.85036e-06	-0.3477665
TPI1	clus3TRUE	8.51575e-06	0.146841
DUSP4	clus3TRUE	8.95884e-06	0.6611856
TNFRSF18	clus3TRUE	9.47584e-06	0.6000605
EIF5	clus3TRUE	9.77064e-06	-0.3599083
NDUFB7	clus3TRUE	1.309977e-05	0.309527
RPL18A	clus3TRUE	1.4134e-05	-0.3580432
SLC35B1	clus3TRUE	1.442805e-05	0.5834446
PTMA	clus3TRUE	1.583172e-05	-0.1404214
DHCR24	clus3TRUE	1.745692e-05	1.017369
RUVBL1	clus3TRUE	1.819416e-05	0.617296
ALDOA	clus3TRUE	1.841355e-05	0.1448805
PRDX3	clus3TRUE	2.099896e-05	0.3385445
TXNDC17	clus3TRUE	2.225293e-05	0.3623349
LUC7L3	clus3TRUE	2.247168e-05	-0.5665893
MDH2	clus3TRUE	2.313383e-05	0.3423276
GRAMD1A	clus3TRUE	2.43131e-05	0.8220441
ARHGAP15	clus3TRUE	2.527038e-05	-0.7679427
AGFG2	clus3TRUE	3.58318e-05	1.823752
RPS5	clus3TRUE	3.649178e-05	-0.1439681
APRT	clus3TRUE	3.921966e-05	0.2242216
VDAC1	clus3TRUE	4.00267e-05	0.3250394
MTIF2	clus3TRUE	4.009512e-05	0.9842153
EIF3A	clus3TRUE	4.031118e-05	-0.4763271
RPL10	clus3TRUE	4.46611e-05	-0.2184409
PPP1CA	clus3TRUE	4.539315e-05	0.3102379
SRRM1	clus3TRUE	4.84128e-05	-0.4001855
CNBP	clus3TRUE	4.929172e-05	-0.1669686
SLAMF1	clus3TRUE	5.68106e-05	-0.8423108
CISH	clus3TRUE	5.990124e-05	1.437233
MT-CO2	clus3TRUE	6.291728e-05	-0.137517
M6PR	clus3TRUE	7.175875e-05	0.3961443
MRPL55	clus3TRUE	7.89018e-05	0.5051495
RPL29	clus3TRUE	0.0001371378	-0.1519713
MDM4	clus3TRUE	0.000154812	-0.8785781
OGT	clus3TRUE	0.0001658475	-0.7357298
HSP90AA1	clus3TRUE	0.000178354	0.1701481
TXN2	clus3TRUE	0.0001856988	0.5114585
DDX21	clus3TRUE	0.0002092512	-0.407575
DNAJA1	clus3TRUE	0.0002401642	0.2372303
TAF7	clus3TRUE	0.0002622296	-0.4689254
MPP6	clus3TRUE	0.000266613	-0.9249544
DBI	clus3TRUE	0.00027615	0.2624219
SLC25A11	clus3TRUE	0.0002768488	0.6891217
FAM173B	clus3TRUE	0.0002937438	1.221557
CYTIP	clus3TRUE	0.000309162	-0.5736682
PHB	clus3TRUE	0.000320896	0.259455
MRPS6	clus3TRUE	0.0003296832	-0.3593359
UCP2	clus3TRUE	0.0003759938	0.7163543
RPL8	clus3TRUE	0.0003869782	-0.0905907
LSM4	clus3TRUE	0.0003964884	0.3386037
SAT1	clus3TRUE	0.000398641	-0.6630749
ALG5	clus3TRUE	0.0004574188	0.4218076
RPS17	clus3TRUE	0.0004639743	-0.2259007
RPL5	clus3TRUE	0.0004859672	-0.1089834
IL4I1	clus3TRUE	0.0004961925	1.521412
ACTG1	clus3TRUE	0.000571095	0.2679404
TMSB4X	clus3TRUE	0.0005783663	-0.2026738
SEC62	clus3TRUE	0.0005959228	-0.3979883
PEMT	clus3TRUE	0.0006090663	0.7568321
PHB2	clus3TRUE	0.0006802396	0.2908745
KIAA1551	clus3TRUE	0.0006926335	-0.6106667
NFKBID	clus3TRUE	0.0006991488	-1.137469
ANKRD12	clus3TRUE	0.0007041937	-0.4967022
RPS15A	clus3TRUE	0.0007180476	-0.3173458
PSMB8	clus3TRUE	0.00080751	0.3305574
FUS	clus3TRUE	0.00082208	-0.3770405
PPP1R15A	clus3TRUE	0.000932053	-0.9410961
RPS27A	clus3TRUE	0.000932053	-0.1786379
ATP5EP2	clus3TRUE	0.000990495	-0.1249902
PTPRC	clus3TRUE	0.000997696	-0.2615363
PSMC2	clus3TRUE	0.001048905	0.301532
EEF1A1	clus3TRUE	0.001056096	-0.2350714
RPL24	clus3TRUE	0.001217278	-0.2821461
LDHA	clus3TRUE	0.001253772	0.1562262
NPIPB5	clus3TRUE	0.001260932	-0.7798806
RPS8	clus3TRUE	0.00128275	-0.1189244
PCGF5	clus3TRUE	0.001304562	-0.6864851
AHSA1	clus3TRUE	0.00135568	0.2487915
SFT2D1	clus3TRUE	0.001531343	0.5479101
DOK2	clus3TRUE	0.001567764	0.6334161
RPL26L1	clus3TRUE	0.001589525	0.5272012
MRPL51	clus3TRUE	0.0016479	0.3230698
CCDC124	clus3TRUE	0.001662321	0.3284729
CLK1	clus3TRUE	0.00205016	-0.6116282
YTHDC1	clus3TRUE	0.002086485	-0.6947595
PDIA3	clus3TRUE	0.002086485	0.1959662
PSMD13	clus3TRUE	0.002254252	0.2460648
APBB1IP	clus3TRUE	0.00234176	-0.3131666
TAP1	clus3TRUE	0.002421927	0.5461534
GADD45A	clus3TRUE	0.002714236	-0.800482
NTHL1	clus3TRUE	0.00276507	1.021995
NACA	clus3TRUE	0.002932914	-0.1349109
SLC5A3	clus3TRUE	0.00299833	-0.8813706
PITPNC1	clus3TRUE	0.003019856	-1.083019
DDX24	clus3TRUE	0.003238773	-0.3760079
OSGEP	clus3TRUE	0.00324564	0.5167784
PABPC1	clus3TRUE	0.003267123	-0.2390802
DDX17	clus3TRUE	0.0034713	-0.4833133
PSMA4	clus3TRUE	0.003777719	0.2183821
MRPL3	clus3TRUE	0.003784508	0.315395
ATP5D	clus3TRUE	0.003864345	0.264748
UBE2T	clus3TRUE	0.003936856	0.7590469
LMAN2	clus3TRUE	0.004191922	0.3285383
DDX3X	clus3TRUE	0.004483428	-0.335915
PDIA4	clus3TRUE	0.004490115	0.4964976
MAT2A	clus3TRUE	0.0044968	-0.6337987
MRPL24	clus3TRUE	0.004554576	0.462727
COPS6	clus3TRUE	0.004641528	0.3260058
CTSB	clus3TRUE	0.005049524	0.5372058
DDX18	clus3TRUE	0.00543552	-0.3322152
MT1X	clus3TRUE	0.00552961	0.5740573
ATP6V1G1	clus3TRUE	0.005674732	-0.2320211
CRELD2	clus3TRUE	0.005725005	0.6178343
UFM1	clus3TRUE	0.0058336	-0.3915326
MDH1	clus3TRUE	0.005876546	0.2302795
RFXANK	clus3TRUE	0.00593406	0.6779181
SLC25A39	clus3TRUE	0.006108182	0.3712734
LSM2	clus3TRUE	0.006639368	0.3537252
PSMG3	clus3TRUE	0.006645744	0.5957247
DDIT3	clus3TRUE	0.006972702	-0.8307693
PPIG	clus3TRUE	0.0069936	-0.3925814
AMD1	clus3TRUE	0.00742968	-0.4338277
C19orf12	clus3TRUE	0.00742968	0.920536
CEBPB	clus3TRUE	0.00750046	-1.520268
C14orf1	clus3TRUE	0.00764505	0.3955168
KLF10	clus3TRUE	0.0077168	-0.8539784
NDUFB10	clus3TRUE	0.00975386	0.3177514
MATR3	clus3TRUE	0.0098253	-0.2472317
NACA2	clus3TRUE	0.01004226	-0.1129152
NAA10	clus3TRUE	0.01011364	0.3375442
CTSH	clus3TRUE	0.010185	1.137156
CACYBP	clus3TRUE	0.01040182	0.2405136
CCT6A	clus3TRUE	0.01047312	0.1970781
GALE	clus3TRUE	0.01068984	0.9132313
MT-CO1	clus3TRUE	0.01076108	-0.1193795
CALM2	clus3TRUE	0.0110504	-0.1197989
SEC11C	clus3TRUE	0.0110504	0.2763194
VPS25	clus3TRUE	0.01119272	0.5658097
FAU	clus3TRUE	0.01184521	-0.1491678
FOXP1	clus3TRUE	0.01191624	-0.3470516
RPL7A	clus3TRUE	0.01198725	-0.1691377
EVI2A	clus3TRUE	0.01220352	-0.6289308
UBA5	clus3TRUE	0.0123471	0.4901709
HARS	clus3TRUE	0.01299898	0.3971654
PLP2	clus3TRUE	0.01343285	0.3695837
TIMM23B	clus3TRUE	0.0135762	-1.050956
C6orf48	clus3TRUE	0.0137921	-0.7015246
ATP5F1	clus3TRUE	0.01386278	0.2149365
HSPE1	clus3TRUE	0.01465914	0.1704066
LYPLA2	clus3TRUE	0.0156004	0.3869301
ERICH1	clus3TRUE	0.01574335	-0.6220154
CTNNA1	clus3TRUE	0.01682928	0.6252471
ADRBK1	clus3TRUE	0.01747973	0.7514351
ATRX	clus3TRUE	0.01783992	-0.4533383
ZRANB2	clus3TRUE	0.01856256	-0.4065325
GPI	clus3TRUE	0.0186325	0.3222439
DEK	clus3TRUE	0.01899238	-0.4040608
RPL39	clus3TRUE	0.01985952	-0.3259809
NSMCE1	clus3TRUE	0.02043654	0.4405991
SND1	clus3TRUE	0.02115832	0.4942957
HLA-C	clus3TRUE	0.02166255	-0.1522235
MT-ND3	clus3TRUE	0.02231152	-0.1994648
MMAB	clus3TRUE	0.02346732	0.770636
MICA	clus3TRUE	0.02476764	1.085448
FDFT1	clus3TRUE	0.02483663	0.2618386
PPIL3	clus3TRUE	0.0249056	0.6667902
AIMP2	clus3TRUE	0.02577084	0.4120676
TMSB10	clus3TRUE	0.02612918	-0.1776326
WDR18	clus3TRUE	0.02619794	0.445328
TNFRSF1B	clus3TRUE	0.02633904	0.4772865
DDOST	clus3TRUE	0.02669715	0.2708892
SSNA1	clus3TRUE	0.02705516	0.3323418
CREBRF	clus3TRUE	0.02726841	-1.354766
TNIP3	clus3TRUE	0.0300128	1.145054
PEBP1	clus3TRUE	0.03029789	0.2173808
CD320	clus3TRUE	0.030366	0.4532926
PAPSS1	clus3TRUE	0.03072325	0.6803622
FYB	clus3TRUE	0.03086356	-0.5419391
FAM65B	clus3TRUE	0.03086356	-1.215905
ITSN2	clus3TRUE	0.03273378	-0.5586979
H3F3C	clus3TRUE	0.0333795	-0.1302202
RPL27A	clus3TRUE	0.03344712	-0.2458005
ACTB	clus3TRUE	0.03416479	0.1090494
JMJD1C	clus3TRUE	0.03473782	-0.5440276
MPV17L2	clus3TRUE	0.03480522	0.7151738
METAP1D	clus3TRUE	0.0356668	1.384559
MSN	clus3TRUE	0.0368169	0.2760349
HLA-E	clus3TRUE	0.03688398	-0.1997321
RNF19A	clus3TRUE	0.03760057	-0.6083909
ANXA6	clus3TRUE	0.03918288	0.7593954
FRYL	clus3TRUE	0.0393939	-0.80191
ACAA2	clus3TRUE	0.0393939	0.4968883
DECR1	clus3TRUE	0.04096984	0.5690473
RBM33	clus3TRUE	0.04269504	-0.5400481
ID2	clus3TRUE	0.04312178	0.3958325
LUC7L	clus3TRUE	0.044702	-0.5360084
CLPP	clus3TRUE	0.04491207	0.3430335
GHITM	clus3TRUE	0.04526624	0.1994909
MT-CYB	clus3TRUE	0.0454041	-0.1064598
PPT1	clus3TRUE	0.04676694	0.324054
RSL24D1	clus3TRUE	0.0471207	-0.2935237
ARID5B	clus3TRUE	0.04747436	-0.6566757
RNF149	clus3TRUE	0.04926852	-0.4722521
BAZ1A	clus3TRUE	0.0500539	-0.4580011
SLC7A5	clus3TRUE	0.05083906	-0.8160556
C19orf43	clus3TRUE	0.051912	-0.2050462
CYB5A	clus3TRUE	0.05291265	0.5218178
RAP1GDS1	clus3TRUE	0.05333718	0.6277315
MTHFD1	clus3TRUE	0.05476917	0.6322651
TIMMDC1	clus3TRUE	0.05483352	0.5187269
OGG1	clus3TRUE	0.0552576	0.8276908
REEP5	clus3TRUE	0.05625708	0.3216938
CCT7	clus3TRUE	0.05876681	0.1893213
MGA	clus3TRUE	0.0589744	-0.853208
HMGA1	clus3TRUE	0.06033249	-0.3848591
PTPN7	clus3TRUE	0.0621216	0.4707038
RALA	clus3TRUE	0.06628258	-0.5343126
MCTS1	clus3TRUE	0.06641712	0.4040131
CREB3	clus3TRUE	0.06784528	0.5189033
NDUFB3	clus3TRUE	0.06819514	0.2545589
ZNF830	clus3TRUE	0.06890415	-0.6907119
MXI1	clus3TRUE	0.06939744	-0.7789337
SHMT2	clus3TRUE	0.07075255	0.4505481
FKBP1A	clus3TRUE	0.07182	0.4049599
ECHS1	clus3TRUE	0.07182	0.406587
PABPC3	clus3TRUE	0.07182	-0.2138359
RIF1	clus3TRUE	0.0725079	-0.5237727
SRSF2	clus3TRUE	0.0739334	-0.20795
ATM	clus3TRUE	0.0746408	-0.7519249
CTLA4	clus3TRUE	0.0746408	0.5510403
MT-ND2	clus3TRUE	0.0746408	-0.0989243
TRA2A	clus3TRUE	0.0760444	-0.6020683
MRPL23	clus3TRUE	0.0839241	0.3461119
PRMT1	clus3TRUE	0.0853468	0.2281792
TRUB2	clus3TRUE	0.0853468	0.4606267
EIF5AL1	clus3TRUE	0.0853468	0.2092287
GLRX2	clus3TRUE	0.086028	0.6680434
TXLNG	clus3TRUE	0.086028	-0.5841007
ISG20	clus3TRUE	0.086028	-0.6156393
EVI2B	clus3TRUE	0.0888584	-0.8718179
HMG20B	clus3TRUE	0.090279	0.4972958
PFDN5	clus3TRUE	0.0909828	-0.1590827
PPP1R14B	clus3TRUE	0.093119	0.2181085
RBM26	clus3TRUE	0.0945384	-0.5634581
EEF2	clus3TRUE	0.0981057	-0.3024546
COQ3	clus3TRUE	0.102388	0.9663259
NDUFB6	clus3TRUE	0.1038055	0.2178344
SLFN5	clus3TRUE	0.1038055	-1.585424
TAF1D	clus3TRUE	0.1052079	-0.3774541
ESF1	clus3TRUE	0.1087712	-0.4697792
CCT3	clus3TRUE	0.1087712	0.1941466
RSL1D1	clus3TRUE	0.1094562	-0.2018289
SARS	clus3TRUE	0.1187398	-0.3422601
TOP1	clus3TRUE	0.1194384	-0.3632536
AGFG1	clus3TRUE	0.1208519	0.4306217
PNN	clus3TRUE	0.12298	-0.4035957
CAMTA2	clus3TRUE	0.12298	0.7240327
RPS23	clus3TRUE	0.1243752	-0.189208
SLC38A5	clus3TRUE	0.1279313	0.5670242
FAM162A	clus3TRUE	0.1279313	0.3087276
HNRNPA2B1	clus3TRUE	0.130039	0.1020181
CHD2	clus3TRUE	0.1350216	-0.7597073
ESCO1	clus3TRUE	0.1385742	-0.6354016
H3F3B	clus3TRUE	0.1442684	-0.1097262
POLE4	clus3TRUE	0.1463905	-0.3768829
NQO2	clus3TRUE	0.1463905	0.5982366
CTNNAL1	clus3TRUE	0.149919	-1.282082
SPOCK2	clus3TRUE	0.1520394	0.5025274
NDUFS2	clus3TRUE	0.1520394	0.3799585
PNRC1	clus3TRUE	0.1562784	-0.404702
BACH2	clus3TRUE	0.1591105	-0.4817608
BOLA3	clus3TRUE	0.160515	0.3856621
OSTC	clus3TRUE	0.1626324	0.2286223
FOSL1	clus3TRUE	0.1718812	-0.859689
YIF1A	clus3TRUE	0.1754226	0.3195592
ARL2	clus3TRUE	0.180389	0.4018628
MRPL48	clus3TRUE	0.1810766	0.4490577
ARL4C	clus3TRUE	0.181764	-0.745755
SRP68	clus3TRUE	0.1831639	0.4289646
PELI1	clus3TRUE	0.1845634	-0.7307169
YIF1B	clus3TRUE	0.186675	0.5025304
POLR1C	clus3TRUE	0.186675	-0.3547262
CALM3	clus3TRUE	0.1873349	0.3486542
TSEN15	clus3TRUE	0.1873349	0.421379
HMBS	clus3TRUE	0.1873349	0.7257587
SEC61G	clus3TRUE	0.197936	0.1816302
RGS10	clus3TRUE	0.199332	-0.2999962
ZC3H11A	clus3TRUE	0.2000158	-0.5100583
SMCHD1	clus3TRUE	0.2006994	-0.5012982
NDUFS5	clus3TRUE	0.2006994	0.1318631
YPEL3	clus3TRUE	0.202066	-0.787069
KAT6A	clus3TRUE	0.202749	-0.6799181
CCDC91	clus3TRUE	0.202749	-0.6168296
CD52	clus3TRUE	0.2048256	-0.3212059
HSPD1	clus3TRUE	0.2104856	0.17665
CDK11A	clus3TRUE	0.218277	-0.7652627
RSF1	clus3TRUE	0.2232226	-0.5953801
NPIPB3	clus3TRUE	0.2246128	-0.8599117
CCNL2	clus3TRUE	0.2260026	-0.5926832
CD7	clus3TRUE	0.2266814	-0.4106405
RPL4	clus3TRUE	0.22736	-0.1064712
TRAF3	clus3TRUE	0.2280384	-0.5619897
PRPF38B	clus3TRUE	0.2294269	-0.3419343
C17orf75	clus3TRUE	0.2322354	0.7266289
TSNAX	clus3TRUE	0.2322354	0.4874474
NUBP2	clus3TRUE	0.23288	0.3950138
MYC	clus3TRUE	0.2335571	-0.4544132
FAM133B	clus3TRUE	0.2434614	-0.674587
IDH1	clus3TRUE	0.2455562	0.8694596
PRRC2B	clus3TRUE	0.2462312	-0.9437129
TXNRD1	clus3TRUE	0.252582	-0.4782305
THOC7	clus3TRUE	0.2667344	0.3047474
NKTR	clus3TRUE	0.2808828	-0.4477236
ZBTB20	clus3TRUE	0.2808828	-1.285373
NCL	clus3TRUE	0.2878946	-0.1445063
DCTN2	clus3TRUE	0.299198	0.4006592
GADD45B	clus3TRUE	0.3019914	-0.728064
C4orf32	clus3TRUE	0.3040752	-0.8996425
FCMR	clus3TRUE	0.3068671	-0.7776339
NRBP1	clus3TRUE	0.3110754	0.317103
TPM4	clus3TRUE	0.3124485	0.6784616
MCUR1	clus3TRUE	0.3209052	0.4730459
TAGLN2	clus3TRUE	0.325818	0.2188716
MRPL13	clus3TRUE	0.3307294	0.2546217
TUFM	clus3TRUE	0.3363475	0.1972076
C12orf10	clus3TRUE	0.337716	0.4409544
MT-ATP6	clus3TRUE	0.3404999	-0.0927168
CHCHD10	clus3TRUE	0.3411596	0.5694176
ALKBH3	clus3TRUE	0.3418191	0.6268751
PARP1	clus3TRUE	0.346724	0.3498642
NUDT22	clus3TRUE	0.346724	0.5846517
CPNE1	clus3TRUE	0.3579444	0.3228808
GNB2	clus3TRUE	0.3685033	0.4977053
SDHB	clus3TRUE	0.3698656	0.1929306
SDF2L1	clus3TRUE	0.3903192	0.2667529
TM9SF2	clus3TRUE	0.392385	0.3349387
PLIN2	clus3TRUE	0.3965709	-0.4562761
PPP2R1A	clus3TRUE	0.4021692	0.2953148
VCP	clus3TRUE	0.4021692	0.2207891
TESC	clus3TRUE	0.4048818	0.8737245
ATF4	clus3TRUE	0.406944	-0.2488722
MACF1	clus3TRUE	0.409712	-0.576922
LRRC8B	clus3TRUE	0.4251926	-0.7226087
PSMD8	clus3TRUE	0.434313	0.1635905
ALG8	clus3TRUE	0.4391942	0.5152379
MRPL16	clus3TRUE	0.447604	0.3126094
NSDHL	clus3TRUE	0.4708353	0.4436368
NUFIP2	clus3TRUE	0.4735918	-0.5805401
HSD17B7	clus3TRUE	0.4735918	0.4869768
FURIN	clus3TRUE	0.4735918	0.5638105
NDUFV1	clus3TRUE	0.4903225	0.3730923
PDCD10	clus3TRUE	0.4951908	0.3110453
COPG1	clus3TRUE	0.5042895	0.5395632
GON4L	clus3TRUE	0.5049232	-0.4813911
BABAM1	clus3TRUE	0.5097873	0.3741778
LITAF	clus3TRUE	0.5097873	0.3651692
EXOSC5	clus3TRUE	0.5103476	0.3647868
ZMAT5	clus3TRUE	0.5137992	0.5857886
CAP1	clus3TRUE	0.5186592	0.2020632
SQSTM1	clus3TRUE	0.5192902	-0.4127689
AGK	clus3TRUE	0.52133	0.5161178
MTMR2	clus3TRUE	0.52133	0.7334425
LCK	clus3TRUE	0.5310422	0.3101335
POP4	clus3TRUE	0.5394172	0.3666125
BZW2	clus3TRUE	0.5414529	-0.3733958
ANTXR2	clus3TRUE	0.55264	-2.289804
DTD1	clus3TRUE	0.5539693	0.5276432
RPF2	clus3TRUE	0.5588172	-0.3535159
GIPC1	clus3TRUE	0.5622563	0.833694
GDI2	clus3TRUE	0.5642872	0.2206964
ZNF267	clus3TRUE	0.574056	-0.8471985
PDE3B	clus3TRUE	0.5852288	-0.9291539
STIP1	clus3TRUE	0.5852288	0.1977067
C1orf228	clus3TRUE	0.5864688	0.6367172
GPAA1	clus3TRUE	0.5913071	0.563138
DNAJC2	clus3TRUE	0.596847	-0.3218575
WDR43	clus3TRUE	0.5988708	-0.2948349
JARID2	clus3TRUE	0.5994884	-0.4815461
POU2F2	clus3TRUE	0.6001058	-0.5603263
DLD	clus3TRUE	0.6001058	0.3400043
TRAPPC1	clus3TRUE	0.6203075	0.3081951
TOMM20	clus3TRUE	0.6209216	-0.3948397
BDP1	clus3TRUE	0.6222378	-0.349861
ARFGAP3	clus3TRUE	0.6242558	-0.4995712
MAD2L2	clus3TRUE	0.6290816	0.454422
YWHAQ	clus3TRUE	0.631098	0.2070132
CLDND1	clus3TRUE	0.6324119	-0.4795017
IFT46	clus3TRUE	0.6400416	0.9643677
ZBED2	clus3TRUE	0.6420555	0.8882855
